ISBN13,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780395657867,Enneagram Transformations,['Don Richard Riso'],Paperback,32.5,32.5,395657865,29-01-1993,HarperCollins Publishers,144
9780755352012,An Offer You Can't Refuse,['Jill Mansell'],ePUB,12.99,12.99,755352017,10-02-2008,Headline,300
9780307796189,Dark Force Rising,['Timothy Zahn'],ePUB,10.47,9.12,307796183,28-06-2011,Random House Worlds,
9781370483051,Mist's Edge,['T.A. White'],ePUB,5.48,5.48,1370483058,28-11-2017,T.A. White,
9780753553084,The 7 Second CV,['James Reed'],ePUB,18.99,18.99,753553082,03-01-2019,Ebury Publishing,208
9780141388786,failed to fetch page,,,,,,,,
9780297860242,Sharp Objects,['Gillian Flynn'],ePUB,11.99,11.99,297860240,03-09-2009,Orion,336
9781306020725,Shadowbreaker,['Joy Ellis'],E-Book,0,0,1306020727,01-01-2013,Robert Hale & Company,225
9780297868385,The Hairy Bikers' Big Book of Baking,['Hairy Bikers'],ePUB,19.99,19.99,297868381,01-03-2012,Orion,224
9781370211678,Spanish for Geniuses,['Andromeda Jones'],ePUB,0,0,1370211678,01-03-2017,Andromeda Jones,
9780297855873,Dark Places,['Gillian Flynn'],ePUB,12.99,11.99,297855875,14-05-2009,Orion,368
9780857388926,The Outcast Dead,['Elly Griffiths'],ePUB,11.99,11.99,857388924,30-01-2014,Quercus,400
9781105795985,A Tale of Two Cities,['Charles Dickens'],ePUB,2.75,2.75,1105795985,13-03-2013,,0
9781405935616,5 Ingredients - Quick & Easy Food,['Jamie Oliver'],ePUB,19.99,19.99,1405935618,24-08-2017,Penguin Books Ltd,288
9781405938259,"Once, Twice, Three Times an Aisling","['Emer McLysaght', 'Sarah Breen']",ePUB,15.99,15.99,1405938250,19-09-2019,Penguin Books Ltd,416
9780141924434,Revenge of the Middle-Aged Woman,['Elizabeth Buchan'],ePUB,15.99,15.99,141924438,02-08-2007,Penguin Books Ltd,384
9780141909776,This Charming Man,['Marian Keyes'],ePUB,15.99,15.99,141909773,30-04-2008,Penguin Books Ltd,912
9780141397030,As I Walked Out One Midsummer Morning,['Laurie Lee'],ePUB,14.99,14.99,141397039,26-06-2014,Penguin Books Ltd,224
9780230763043,failed to fetch page,,,,,,,,
9780241958735,Kingdom of Fear,['Hunter S Thompson'],ePUB,15.99,15.99,241958733,24-11-2011,Penguin Books Ltd,384
9780755396511,The Other Daughter,['Lisa Gardner'],Paperback,24.99,21.75,755396510,13-11-2012,Headline,416
9780141914527,Letters from a Stoic,"['Seneca', 'Robin Campbell', 'Robin Campbell', 'Robin Campbell']",ePUB,10.99,10.99,141914521,26-08-2004,Penguin Books Ltd,256
9780748112586,The Way Of Shadows,['Brent Weeks'],ePUB,11.99,11.99,748112588,11-06-2009,"Little, Brown Book Group",688
9780768442830,Seeing Behind the Veil,['Ana Werner'],Paperback,46.25,46.25,768442834,18-09-2018,DESTINY IMAGE INC             ,240
9780230761223,failed to fetch page,,,,,,,,
9780575088238,The Republic of Thieves,['Scott Lynch'],ePUB,12.99,12.99,575088230,10-10-2013,Orion,880
9781408851234,The Sixth Extinction,['Elizabeth Kolbert'],ePUB,15.99,13.99,1408851237,13-02-2014,Bloomsbury Publishing,336
9780755387144,Four Blind Mice,['James Patterson'],ePUB,12.99,12.99,755387147,23-06-2011,Headline,330
9780399182112,Wanderers,['Chuck Wendig'],ePUB,23.99,19.99,039918211X,02-07-2019,Random House Worlds,
9780316262330,New York 2140,['Kim Stanley Robinson'],ePUB,19.99,19.99,316262331,21-03-2017,Orbit,480
9780330513142,"Life, the Universe and Everything",['Douglas Adams'],ePUB,13.95,10.4,330513141,01-09-2009,,0
9780330473033,Rage,['Wilbur Smith'],ePUB,13.95,10.5,330473034,04-09-2008,,0
9780141960654,The Templar's Code,['Chloe M. Palov'],ePUB,15.99,15.99,141960655,28-10-2010,Penguin Books Ltd,528
9780061981746,A Lion Among Men,['Gregory Maguire'],ePUB,10.99,10.99,61981745,06-10-2009,HarperCollins,400
9780749020552,Peace Comes to Honeyfield,['Anna Jacobs'],Paperback,25.75,25.75,749020555,01-05-2019,Faber Factory,352
9781405529631,The Secret History,['Donna Tartt'],ePUB,11.99,11.99,1405529636,02-05-2013,"Little, Brown Book Group",544
9780748121762,Glory in Death,['J.D. Robb'],ePUB,11.99,11.99,748121765,07-10-2010,"Little, Brown Book Group",336
9780141190693,Vile Bodies,['Evelyn Waugh'],ePUB,15.99,15.99,141190698,31-05-2012,Penguin Books Ltd,256
9781407056982,Anatomy Of The Spirit,['Caroline Myss'],ePUB,14.5,14.5,1407056980,26-01-2010,Random House,320
9780241979723,The Infinite Game,['Simon Sinek'],ePUB,19.99,19.99,241979722,15-10-2019,Penguin Books Ltd,256
9780857868770,The Humans,['Matt Haig'],ePUB,21.08,16.99,857868772,09-05-2013,Canongate Books,304
9781408841068,Close Call,['Stella Rimington'],ePUB,17.58,14.99,1408841061,03-07-2014,Bloomsbury Publishing,352
9780785160069,Spider-Man,"['Todd McFarlane', 'Leandro Fernandez', 'Humberto Ramos', 'Joe Bennett', 'Al Rio']",Paperback,49.99,37.25,078516006X,22-01-2013,Marvel Comics,192
9781365014925,Furious,['T.R. Ragan'],ePUB,4.5,4.5,1365014924,01-04-2016,,0
9781448151523,Shadow Hunter,['Geoffrey Archer'],ePUB,15.99,15.99,144815152X,17-08-2012,Random House,320
9781407070711,The Jeeves Omnibus - Vol 1,['P G Wodehouse'],ePUB,17.99,17.99,1407070711,29-02-2012,Random House,592
9781407010953,Kill Your Friends,['John Niven'],ePUB,15.99,15.99,1407010956,16-12-2008,Random House,336
9780857056443,The Girl Who Takes an Eye for an Eye,"['David Lagercrantz', 'George Goulding']",ePUB,16.99,16.99,857056441,07-09-2017,Quercus,448
9781407070216,Tripwire,['Lee Child'],ePUB,16.99,16.99,1407070215,04-09-2008,Transworld,560
9781405512176,Fred & Rose,['Howard Sounes'],ePUB,11.99,11.99,1405512172,05-09-2011,"Little, Brown Book Group",384
9780857202970,The Night Stalker,['Chris Carter'],Paperback,22.99,20.4,857202979,01-03-2012,Simon & Schuster UK,464
9780544759213,Glow,['W. H. Beck'],ePUB,11.99,11.99,544759214,15-12-2015,HarperCollins,32
9780141906430,Regeneration,['Pat Barker'],ePUB,15.99,15.99,014190643X,01-05-2008,Penguin Books Ltd,256
9780544245587,Beethoven,['Jan Swafford'],ePUB,45.8,45.8,054424558X,05-08-2014,,994
9781407096186,The Devil's Alternative,['Frederick Forsyth'],ePUB,15.99,15.99,1407096184,30-05-2011,Random House,496
9780755353453,The Gladiator (Eagles of the Empire 9),['Simon Scarrow'],ePUB,12.99,12.99,755353455,06-08-2009,Headline,320
9781407070544,Friends In High Places,['Donna Leon'],ePUB,15.99,15.99,1407070541,13-04-2010,Random House,336
9781407071879,Cinderella Sister,['Dilly Court'],ePUB,15.99,15.99,1407071874,02-06-2011,Random House,512
9781407086071,The Leopard,"['Jo Nesbo', 'Don Bartlett']",ePUB,15.99,15.99,1407086073,20-01-2011,Random House,752
9780141342610,Magnus Chase and the Ship of the Dead (Book 3),['Rick Riordan'],ePUB,9.99,9.99,141342617,03-10-2017,Penguin Random House Children's UK,528
9780553897050,A Christmas Carol,['Charles Dickens'],ePUB,8.55,7.99,553897055,26-11-2002,Random House Publishing Group,
9780141952123,The Winter King,['Bernard Cornwell'],ePUB,15.99,15.99,141952121,01-11-2007,Penguin Books Ltd,512
9780241983133,Grand Union,['Zadie Smith'],ePUB,15.99,15.99,241983134,03-10-2019,Penguin Books Ltd,304
9781405936019,The Whisper Man,['Alex North'],ePUB,15.99,15.99,1405936010,13-06-2019,Penguin Books Ltd,400
9780755387199,"Mary, Mary",['James Patterson'],ePUB,12.99,12.99,755387198,28-04-2011,Headline,327
9780349419220,Someone to Trust,['Mary Balogh'],Paperback,22.99,20.4,349419221,27-11-2018,Little Brown,400
9780141919959,Nineteen Eighty-Four,"['George Orwell', 'Thomas Pynchon']",ePUB,10.99,10.99,141919957,29-01-2004,Penguin Books Ltd,400
9780316252997,The House on the Strand,['Daphne du Maurier'],ePUB,9.99,9.99,316252999,17-12-2013,"Little, Brown and Company",352
9780141930183,Blink,['Malcolm Gladwell'],ePUB,15.99,15.99,141930187,23-02-2006,Penguin Books Ltd,304
9780297855897,failed to fetch page,,,,,,,,
9780553903102,The Orphan's Tales,['Catherynne Valente'],ePUB,10.27,9.99,553903101,31-10-2006,Random House Worlds,
9780544084780,The Testing Guide,['Joelle Charbonneau'],ePUB,4.99,4.99,544084780,01-05-2013,HarperCollins,
9780241983409,The Beautiful Summer,"['Cesare Pavese', 'Elizabeth Strout']",ePUB,15.99,15.99,241983401,07-06-2018,Penguin Books Ltd,112
9781529003314,Split Second,['David Baldacci'],Paperback,19.99,18.25,1529003318,12-11-2019,Pan Macmillan UK,608
9781409003175,Best ever recipes,['Slimming World'],ePUB,21.99,21.99,1409003175,30-04-2014,Ebury Publishing,208
9780241966068,The Separation,['Dinah Jefferies'],ePUB,15.99,15.99,024196606X,22-05-2014,Penguin Books Ltd,320
9780857863430,Orlando,['Virginia Woolf'],ePUB,13.74,11.99,857863436,05-01-2012,Canongate Books,192
9780998151649,Cage of Deceit,['Jennifer Anne Davis'],ePUB,0,0,998151645,19-06-2019,Reign Publishing,
9780748109272,Body Of Evidence,['Patricia Cornwell'],ePUB,11.99,11.99,748109277,04-09-2008,"Little, Brown Book Group",400
9780670920501,What Are You Looking At?,['Will Gompertz'],ePUB,16.99,16.99,670920509,06-09-2012,Penguin Books Ltd,464
9780755118397,Corridors Of Power,['C.P. Snow'],PDF,14.9,14.9,755118391,16-01-2010,,368
9780230752368,failed to fetch page,,,,,,,,
9780241965610,How to be Both,['Ali Smith'],ePUB,15.99,15.99,241965616,28-08-2014,Penguin Books Ltd,320
9780748109951,The Wasp Factory,['Iain Banks'],ePUB,11.99,11.99,748109951,04-09-2008,"Little, Brown Book Group",256
9780575097476,Warbreaker,['Brandon Sanderson'],ePUB,11.99,11.99,575097477,29-12-2011,Orion,688
9780544147775,Ruth's First Christmas Tree,['Elly Griffiths'],ePUB,4.99,4.99,544147774,11-12-2012,HarperCollins,
9780297864004,Caesar,"['Adrian Goldsworthy', 'Dr Adrian Goldsworthy Ltd']",ePUB,17.99,17.99,297864009,18-04-2013,Orion,704
9780330461931,Kane and Abel,['Jeffrey Archer'],ePUB,13.95,10.5,330461931,04-09-2008,,200
9780575104426,Dune Messiah,['Frank Herbert'],ePUB,24.99,24.99,575104422,14-07-2011,Orion,416
9780241986554,Agent Running in the Field,['John le Carré'],ePUB,15.99,15.99,241986559,17-10-2019,Penguin Books Ltd,272
9780241984642,I Looked Away,['Jane Corry'],ePUB,15.99,15.99,241984645,21-06-2019,Penguin Books Ltd,464
9781785760457,Exile,['James Swallow'],Paperback,27.99,23.75,1785760459,24-04-2018,Bonnier,576
9781400888023,The Moral Economists,['Tim Rogan'],ePUB,47.29,37.99,1400888026,18-12-2017,Princeton University Press,280
9780241399378,Novacene,['James Lovelock'],ePUB,16.99,16.99,241399378,04-07-2019,Penguin Books Ltd,160
9781306863421,"Teddy Suhren, Ace of Aces",['Teddy Shuren'],E-Book,0,0,1306863422,01-01-2011,Frontline Books,249
9780141907178,Scoop,['Evelyn Waugh'],ePUB,15.99,15.99,141907177,31-05-2012,Penguin Books Ltd,240
9781405930819,The Darkness,"['Ragnar Jónasson', 'Victoria Cribb']",ePUB,15.99,15.99,1405930810,15-03-2018,Penguin Books Ltd,400
9781405913157,Natural Causes,['James Oswald'],ePUB,15.99,15.99,1405913150,22-11-2012,Penguin Books Ltd,400
9780761178668,"How to Care for Aging Parents, 3rd Edition",['Virginia Morris'],ePUB,23.99,23.99,076117866X,11-02-2014,Workman Publishing Company,688
9780857208750,The Last Man,['Vince Flynn'],ePUB,4.99,4.99,857208756,13-11-2012,Simon & Schuster UK,448
9780141912554,The Moon is Down,"['Donald Coers', 'John Steinbeck']",ePUB,15.99,15.99,141912553,30-11-2000,Penguin Books Ltd,144
9780316187169,New Joe Abercrombie Novel #1,['Joe Abercrombie'],Hardcover,51.75,51.75,031618716X,17-09-2019,ORBIT                         ,480
9781407020952,Silence Of The Grave,"['Arnaldur Indridason', 'Bernard Scudder']",ePUB,15.99,15.99,1407020951,26-12-2008,Random House,304
9780307796103,Heir to the Empire,['Timothy Zahn'],ePUB,6.96,6.26,307796108,28-06-2011,Random House Worlds,
9780785171454,X-Men,"['Chris Claremont', 'John Byrne']",ePUB,24.93,20.99,785171452,13-03-2019,Marvel Entertainment,
9780755307500,Small Island,['Andrea Levy'],Paperback,24.99,21.75,075530750X,01-01-2010,Headline,560
9781407034935,Soul Music,['Terry Pratchett'],ePUB,14.99,14.99,1407034936,27-05-2009,Transworld,432
9780755349272,2nd Chance,"['James Patterson', 'Andrew Gross']",Paperback,22.99,20.4,075534927X,01-08-2009,Headline,432
9780230772021,failed to fetch page,,,,,,,,
9781101201794,Andrew Carnegie,['David Nasaw'],ePUB,15.42,12.99,1101201797,30-10-2007,Penguin Publishing Group,896
9780241973288,The Good Liar,['Nicholas Searle'],ePUB,15.99,15.99,241973287,31-12-2015,Penguin Books Ltd,288
9781405934671,No Further Questions,['Gillian McAllister'],ePUB,15.99,15.99,1405934670,02-07-2018,Penguin Books Ltd,400
9780748110087,Use of Weapons,['Iain M. Banks'],ePUB,12.99,12.99,748110089,04-09-2008,"Little, Brown Book Group",432
9780141930176,The Witches,"['Roald Dahl', 'Quentin Blake']",ePUB,9.99,9.99,141930179,06-09-2007,Penguin Random House Children's UK,224
9781401937522,Dying to Be Me,['Anita Moorjani'],ePUB,24.93,20.01,1401937527,08-03-2022,Hay House,191
9780141946030,The Betrayal,['Helen Dunmore'],ePUB,15.99,15.99,141946032,29-04-2010,Penguin Books Ltd,336
9780553898415,Common Sense,"['Thomas Paine', 'Diana Gabaldon']",ePUB,3.99,3.99,553898418,03-02-2004,Random House Publishing Group,
9781301211227,Taunting Destiny,['Amelia Hutchins'],ePUB,6.99,6.99,1301211222,30-07-2015,Amelia Hutchins,
9780141913995,The Book of Chuang Tzu,"['Chuang Tzu', 'Martin Palmer']",ePUB,14.99,14.99,141913991,30-11-2006,Penguin Books Ltd,352
9780748129232,Fingersmith,['Sarah Waters'],ePUB,11.99,11.99,748129235,03-02-2011,"Little, Brown Book Group",560
9780141917986,Ways of Seeing,['John Berger'],ePUB,14.99,14.99,141917989,25-09-2008,Penguin Books Ltd,176
9780748127726,"Life, Death and Vanilla Slices",['Jenny Eclair'],ePUB,12.99,12.99,748127720,05-07-2012,"Little, Brown Book Group",320
9780297857884,Revolution 1989,['Victor Sebestyen'],ePUB,19.99,19.99,297857886,30-07-2009,Orion,576
9780316252966,My Cousin Rachel,['Daphne du Maurier'],ePUB,13.99,13.99,316252964,17-12-2013,"Little, Brown and Company",352
9780857346568,Storytime for 2 Year Olds,[],Hardcover,20.99,5.95,857346563,01-09-2012,Bonnier Books Ltd,48
9781455550791,Hour Game,['David Baldacci'],Paperback,42.52,42.52,1455550795,25-03-2014,GRAND CENTRAL PUBL            ,512
9780989929158,The Lords of the Wind,['C.J. Adrien'],ePUB,8.23,8.23,989929159,07-07-2019,C.J. Adrien,
9781473501539,The Blissful Baby Expert,['Lisa Clegg'],ePUB,19.99,19.99,1473501539,06-02-2014,Ebury Publishing,368
9781101625545,A Fall of Marigolds,['Susan Meissner'],ePUB,23.99,19.99,1101625546,04-02-2014,Penguin Publishing Group,304
9781405925679,Down to the Woods,['M. J. Arlidge'],ePUB,15.99,15.99,1405925671,20-09-2018,Penguin Books Ltd,368
9781281372048,Introducing Political Philosophy,"['Principal Lecturer in Psychology Dave Robinson', 'Judy Groves']",E-Book,0,0,1281372048,01-01-2006,Icon Books Limited,176
9781407071565,11th Hour,['James Patterson'],ePUB,15.99,15.99,1407071564,01-03-2012,Random House,496
9780241392102,"Love, Iris",['Elizabeth Noble'],ePUB,15.99,15.99,241392101,27-12-2018,Penguin Books Ltd,480
9780755128082,Soldiers Of The Queen,['Max Hennessy'],ePUB,8.79,7.99,755128087,01-10-2015,House of Stratus,366
9781405919319,Tom Clancy's Support and Defend,['Mark Greaney'],ePUB,15.99,15.99,1405919310,22-07-2014,Penguin Books Ltd,416
9780230741140,failed to fetch page,,,,,,,,
9780141975597,Feral,['George Monbiot'],ePUB,15.99,15.99,141975598,30-05-2013,Penguin Books Ltd,256
9780751540031,From the Dead,['Mark Billingham'],Paperback,22.99,20.4,075154003X,31-05-2011,Little Brown,496
9780241984581,The Killing Type,['Jane Corry'],ePUB,0,0,241984580,17-05-2018,Penguin Books Ltd,40
9780755378500,If You Were Me,"[""Sheila O'Flanagan""]",ePUB,11.99,11.99,755378504,03-07-2014,Headline,464
9780748124619,Pretty Little Liars,['Sara Shepard'],ePUB,11.99,11.99,748124616,04-11-2010,"Little, Brown Book Group",256
9780753553947,Before We Was We,"['Mike Barson', 'Mark Bedford', 'Chris Foreman', 'Graham McPherson', 'Dan Woodgate']",ePUB,15.99,15.99,753553945,10-10-2019,Ebury Publishing,320
9781101984796,Christmas Bells,['Jennifer Chiaverini'],Paperback,44.75,44.75,1101984791,11-10-2016,Penguin Group USA,352
9780807014288,Man's Search for Meaning,"['Viktor E. Frankl', 'Harold S. Kushner', 'William J. Winslade']",ePUB,16.75,16.75,807014281,01-06-2006,,0
9780307744920,The Fifth Queen,['Ford Madox Ford'],ePUB,17.14,13.99,307744922,04-10-2011,Knopf Doubleday Publishing Group,
9780575095854,Red Country,['Joe Abercrombie'],ePUB,12.99,12.99,575095857,18-10-2012,Orion,560
9780141915067,One Flew Over the Cuckoo's Nest,"['Ken Kesey', 'Joe Sacco']",ePUB,15.99,15.99,141915064,23-08-2011,Penguin Books Ltd,320
9780007283033,Provided You Don't Kiss Me,['Duncan Hamilton'],ePUB,20.99,20.99,7283032,04-09-2008,HarperCollins Publishers,256
9781407020358,Love,['Toni Morrison'],ePUB,15.99,15.99,1407020358,26-12-2008,Random House,208
9780486113036,Macbeth,['William Shakespeare'],ePUB,1.45,1.45,486113035,03-02-2012,Dover Publications,96
9781405529518,The Goldfinch,['Donna Tartt'],ePUB,12.99,12.99,1405529512,22-10-2013,"Little, Brown Book Group",784
9781401395421,Home,['Julie Andrews'],ePUB,21.99,21.99,1401395422,01-04-2008,Hachette Books,352
9780283070891,The Elephant Whisperer,"['Anthony Lawrence', 'Graham Spence']",ePUB,13.95,10.4,283070897,05-06-2009,,0
9780748109685,Trace,['Patricia Cornwell'],ePUB,11.99,11.99,748109684,04-09-2008,"Little, Brown Book Group",496
9780241308363,The Coddling of the American Mind,"['Jonathan Haidt', 'Greg Lukianoff']",ePUB,16.99,16.99,241308364,04-09-2018,Penguin Books Ltd,400
9780571298716,The Wall,['John Lanchester'],ePUB,13.19,11.99,571298710,15-01-2019,Faber & Faber,320
9780134190563,"Go Programming Language, The","['Alan A. A. Donovan', 'Brian W. Kernighan']",ePUB,61.25,61.25,134190564,16-11-2015,Pearson Technology Group,0
9780648046219,The Brothers of Brigadier Station,['Sarah Williams'],ePUB,0.99,0.99,648046214,09-08-2017,Serenade Publishing,234
9780553904567,Persuasion,['Jane Austen'],ePUB,3.99,3.99,553904566,29-01-2008,Random House Publishing Group,
9781119404514,The Little Book of Common Sense Investing,['John C. Bogle'],ePUB,29.99,29.99,1119404517,22-09-2017,Wiley,304
9780141369778,Murder Most Unladylike,['Robin Stevens'],ePUB,9.99,9.99,141369779,25-02-2016,Penguin Random House Children's UK,352
9780141924601,Father Unknown,['Lesley Pearse'],ePUB,15.99,15.99,141924608,06-07-2006,Penguin Books Ltd,416
9780571341191,Girl,"[""Edna O'Brien""]",ePUB,13.19,11.99,571341195,03-09-2019,Faber & Faber,320
9780141967318,Tempting Fate,['Jane Green'],ePUB,15.99,15.99,141967315,12-09-2013,Penguin Books Ltd,400
9780230741928,Paths of Glory,['Jeffrey Archer'],ePUB,13.95,10.5,230741924,11-12-2009,,400
9780241983881,Measure What Matters,['John Doerr'],ePUB,18.99,18.99,241983886,24-04-2018,Penguin Books Ltd,320
9780358018971,Seeing Around Corners,['Rita McGrath'],ePUB,26.99,26.99,358018978,03-09-2019,HarperCollins,
9780571356515,Find Me,['André Aciman'],ePUB,16.49,14.99,571356516,29-10-2019,Faber & Faber,256
9780141924403,Percy Jackson and the Lightning Thief (Book 1),['Rick Riordan'],ePUB,12.99,12.99,141924403,01-05-2008,Penguin Random House Children's UK,384
9780141344751,The Demigod Diaries,['Rick Riordan'],ePUB,14.99,14.99,014134475X,06-09-2012,Penguin Random House Children's UK,256
9781302453640,Star Wars Omnibus Knights of the Old Republic Vol. 1,"['John Jackson Miller', 'Brian Ching', 'Travel Foreman']",ePUB,29.33,23.99,1302453645,25-03-2015,Marvel Entertainment,
